Num,,FGL_Name,ASSOC_name,4FGL_Class,4FGL_SED_Class,From,To,reference,ADS
31,29,3FGL J2217.0+2421 ,,,LSP,LSP BL Lac,FSRQ,FANXL_fsrq,2019ApJ...879..107F
32,30,3FGL J2236.3+2829,,,LSP,LSP BL Lac,FSRQ,FANXL_fsrq,2019ApJ...879..107F
33,31,3FGL J2243.4-2541 ,,,LSP,LSP BL Lac,FSRQ,FANXL_fsrq,2019ApJ...879..107F
34,32,3FGL J2244.1+4057 ,,,LSP,LSP BL Lac,FSRQ,FANXL_fsrq,2019ApJ...879..107F
35,33,3FGL J2315.7-5018,,,LSP,LSP BL Lac,FSRQ,FANXL_fsrq,2019ApJ...879..107F
36,,,,,,,,,
37,,,,,,,,,
38,1,4FGL J1302.8+5748,,,LSP,LSP BL Lac,FSRQ,cheng_fsrq,2022MNRNS...515...2215...2223
39,2,4FGL J2346.7+8008,,,LSP,LSP BL Lac,FSRQ,cheng_fsrq,2022MNRNS...515...2215...2223
40,3,4FGL J2357.4-0152,,,LSP,LSP BL Lac,FSRQ,cheng_fsrq,2022MNRNS...515...2215...2223
41,4,4FGL J2200.3+1029,,,LSP,LSP BL Lac,FSRQ,cheng_fsrq,2022MNRNS...515...2215...2223
42,5,4FGL J2241.2+4120,,,LSP,LSP BL Lac,FSRQ,cheng_fsrq,2022MNRNS...515...2215...2223
43,6,4FGL J1224.9+4334,,,LSP,LSP BL Lac,FSRQ,cheng_fsrq,2022MNRNS...515...2215...2223
44,7,4FGL J0359.4-2616,,,LSP,LSP BL Lac,FSRQ,cheng_fsrq,2022MNRNS...515...2215...2223
45,8,4FGL J0403.5-2437,,,LSP,LSP BL Lac,FSRQ,cheng_fsrq,2022MNRNS...515...2215...2223
46,9,4FGL J0208.5-0046,,,LSP,LSP BL Lac,FSRQ,cheng_fsrq,2022MNRNS...515...2215...2223
47,10,4FGL J0610.1-1848,,,LSP,LSP BL Lac,FSRQ,cheng_fsrq,2022MNRNS...515...2215...2223
48,11,4FGL J1439.7+4958,,,LSP,LSP BL Lac,FSRQ,cheng_fsrq,2022MNRNS...515...2215...2223
49,12,4FGL J1445.9-1626,,,LSP,LSP BL Lac,FSRQ,cheng_fsrq,2022MNRNS...515...2215...2223
50,13,4FGL J1148.6+1841,,,LSP,LSP BL Lac,FSRQ,cheng_fsrq,2022MNRNS...515...2215...2223
51,14,4FGL J1954.6-1122,,,LSP,LSP BL Lac,FSRQ,cheng_fsrq,2022MNRNS...515...2215...2223
52,15,4FGL J1201.7+1429,,,LSP,LSP BL Lac,FSRQ,cheng_fsrq,2022MNRNS...515...2215...2223
53,16,4FGL J2315.6-5018,,,LSP,LSP BL Lac,FSRQ,cheng_fsrq,2022MNRNS...515...2215...2223
54,17,4FGL J0209.9+7229,,,LSP,LSP BL Lac,FSRQ,cheng_fsrq,2022MNRNS...515...2215...2223
55,18,4FGL J0832.4+4912,,,LSP,LSP BL Lac,FSRQ,cheng_fsrq,2022MNRNS...515...2215...2223
56,19,4FGL J1427.6-3305,,,LSP,LSP BL Lac,FSRQ,cheng_fsrq,2022MNRNS...515...2215...2223
57,20,4FGL J1329.0-5607,,,LSP,LSP BL Lac,FSRQ,cheng_fsrq,2022MNRNS...515...2215...2223
58,21,4FGL J1500.7+4752,,,LSP,LSP BL Lac,FSRQ,cheng_fsrq,2022MNRNS...515...2215...2223
59,22,4FGL J1410.1+0202,,,LSP,LSP BL Lac,FSRQ,cheng_fsrq,2022MNRNS...515...2215...2223
60,23,4FGL J2257.5+0748,,,LSP,LSP BL Lac,FSRQ,cheng_fsrq,2022MNRNS...515...2215...2223
61,24,4FGL J1315.1-5333,,,LSP,LSP BL Lac,FSRQ,cheng_fsrq,2022MNRNS...515...2215...2223
62,25,4FGL J0113.7+0225,,,LSP,LSP BL Lac,FSRQ,cheng_fsrq,2022MNRNS...515...2215...2223
63,26,4FGL J0710.9+4733,,,LSP,LSP BL Lac,FSRQ,cheng_fsrq,2022MNRNS...515...2215...2223
64,27,4FGL J2152.5+1737,,,LSP,LSP BL Lac,FSRQ,cheng_fsrq,2022MNRNS...515...2215...2223
65,28,4FGL J0407.5+0741,,,LSP,LSP BL Lac,FSRQ,cheng_fsrq,2022MNRNS...515...2215...2223
66,29,4FGL J2056.7-3209,,,LSP,LSP BL Lac,FSRQ,cheng_fsrq,2022MNRNS...515...2215...2223
67,30,4FGL J2050.0+0408,,,LSP,LSP BL Lac,FSRQ,cheng_fsrq,2022MNRNS...515...2215...2223
68,31,4FGL J2049.9+1002,,,LSP,LSP BL Lac,FSRQ,cheng_fsrq,2022MNRNS...515...2215...2223
69,32,4FGL J1516.9+1934,,,LSP,LSP BL Lac,FSRQ,cheng_fsrq,2022MNRNS...515...2215...2223
70,33,4FGL J1717.5-3342,,,LSP,LSP BL Lac,FSRQ,cheng_fsrq,2022MNRNS...515...2215...2223
71,34,4FGL J1941.3-6210,,,LSP,LSP BL Lac,FSRQ,cheng_fsrq,2022MNRNS...515...2215...2223
72,35,4FGL J2216.9+2421,,,LSP,LSP BL Lac,FSRQ,cheng_fsrq,2022MNRNS...515...2215...2223
73,36,4FGL J0438.9-4521,,,LSP,LSP BL Lac,FSRQ,cheng_fsrq,2022MNRNS...515...2215...2223
74,37,4FGL J2010.0+7229,,,LSP,LSP BL Lac,FSRQ,cheng_fsrq,2022MNRNS...515...2215...2223
75,38,4FGL J1330.4+3157,,,LSP,LSP BL Lac,FSRQ,cheng_fsrq,2022MNRNS...515...2215...2223
76,39,4FGL J0747.3-3310,,,LSP,LSP BL Lac,FSRQ,cheng_fsrq,2022MNRNS...515...2215...2223
77,40,4FGL J1326.8-5256,,,LSP,LSP BL Lac,FSRQ,cheng_fsrq,2022MNRNS...515...2215...2223
78,41,4FGL J2032.0+1219,,,LSP,LSP BL Lac,FSRQ,cheng_fsrq,2022MNRNS...515...2215...2223
79,42,4FGL J1604.5-4441,,,LSP,LSP BL Lac,FSRQ,cheng_fsrq,2022MNRNS...515...2215...2223
80,43,4FGL J1824.1+5651,,,LSP,LSP BL Lac,FSRQ,cheng_fsrq,2022MNRNS...515...2215...2223
81,44,4FGL J1641.9-0621,,,LSP,LSP BL Lac,FSRQ,cheng_fsrq,2022MNRNS...515...2215...2223
82,45,4FGL J1650.3-5045,,,LSP,LSP BL Lac,FSRQ,cheng_fsrq,2022MNRNS...515...2215...2223
83,46,4FGL J2134.2-0154,,,LSP,LSP BL Lac,FSRQ,cheng_fsrq,2022MNRNS...515...2215...2223
84,47,4FGL J2025.3+3341,,,LSP,LSP BL Lac,FSRQ,cheng_fsrq,2022MNRNS...515...2215...2223
85,,,,,,,,,
86,,,,,,,,,
87,1,4FGL J0238.6+1637,PKS 0235 +164,bll,LSP,BL Lacs,FRSQs,Pei2022,2022ApJ...925...97P
88,2,4FGL J0538.8-4405 ,PKS 0537-441,bll,LSP,BL Lacs,FRSQs,Pei2022,2022ApJ...925...97P
89,,,,,,,,,
90,,,,,,,,,
91,1,4FGL J0833.9+4223,SDSS J083353.88+422401.8,fsrq,LSP,P-BLL,FSRQ-like,Ruan et al. (2014),2020ApJ...892..105A
92,2,4FGL J1016.0+0512,SDSS J101603.13+051302.3,fsrq,LSP,P-BLL,FSRQ-like,Ruan et al. (2014),2020ApJ...892..105A
93,3,4FGL J1308.5+3547,SDSS J130823.70+354637.0,fsrq,LSP,P-BLL,FSRQ-like,Ruan et al. (2014),2020ApJ...892..105A
94,4,4FGL J2206.8-0032,SDSS J220643.28-003102.5,bll,LSP,P-BLL,FSRQ-like,Ruan et al. (2014),2020ApJ...892..105A
95,5,4FGL J1250.6+0217,SDSS J125032.57+021632.1,bll,LSP,P-BLL,FSRQ-like,Ruan et al. (2014),2014ApJ...797...19R
96,6,,SDSS J143758.67+300207.1,,,P-BLL,FSRQ-like,Ruan et al. (2014),2014ApJ...797...19R
97,0,,SDSS J083223.22+491321.0^a  ,,,not transition,,Ruan et al. (2014),2014ApJ...797...19R
98,,,a^likely to be a transition blazar,,,,,,
99,,,,,,,,,
100,,,,,,,,,
101,1,4FGL J0058.4+3315,,fsrq,LSP,BL Lacs,FS,Ghisellini et al. (2011) ,2011MNRAS.414.2674G
102,2,4FGL J0210.7-5101,,fsrq,LSP,BL Lacs,FS,Ghisellini et al. (2011) ,2011MNRAS.414.2674G
103,3,4FGL J0538.8-4405,,bll,LSP,BL Lacs,FS,Ghisellini et al. (2011) ,2011MNRAS.414.2674G
104,4,4FGL J0811.4+0146,,bll,LSP,BL Lacs,FS,Ghisellini et al. (2011) ,2011MNRAS.414.2674G
105,5,4FGL J0238.6+1637,,bll,LSP,BL Lacs,FS,Ghisellini et al. (2011) ,2011MNRAS.414.2674G
106,6,4FGL J0428.6-3756,,bll,LSP,BL Lacs,FS,Ghisellini et al. (2011) ,2011MNRAS.414.2674G
107,,,,,,,,,
108,,,,,,,,,
109,In_Pei,4FGL J1503.5+4759,3FGL J1503.7+4759,BLL,LSP,bll,bzq,Pe_a-Herazo et al. (2021) ,
110,In_Pei,,CLASSJ1503+4759,,,,,,
111,In_Pei,1FGL J1503.3+4759,SDSS J150347.99+475930.9,BLL,LSP,,,,
112,In_Pei,4FGL J1503.5+4759,TXS 1501+481,bll,LSP,bll,bzq,Pe_a-Herazo et al. (2021) ,
113,In_Pei,4FGL J1001.1+2911,B0958+294,bll,LSP,bzb,bzq,Pe_a-Herazo et al. (2021) ,
114,In_Pei,4FGL J1043.2+2408 ,TXS 1040+244,fsrq,LSP,bzq,bzb,Pe_a-Herazo et al. (2021) ,
115,,,,,,,,,
116,,,,,,,,,
117,1,4FGL J1410.3+1438,NVSS J141028+143841,bll,NA,bll,bzq,Pe_a-Herazo et al. (2021) ,
118,2,4FGL J1503.5+4759,TXS 1501+481,bll,LSP,bll,bzq,Pe_a-Herazo et al. (2021) ,
119,5,4FGL J0022.0+0006,5BZG J0022+0006,bll,HSP,bzg,bzb,Pe_a-Herazo et al. (2021) ,
120,6,4FGL J0303.3+0555,5BZG J0303+0554,bll,HSP,bzg,bzb,Pe_a-Herazo et al. (2021) ,
121,9,4FGL J0916.7+5238,5BZG J0916+5238,bll,HSP,bzg,bzb,Pe_a-Herazo et al. (2021) ,
122,10,4FGL J1001.1+2911,5BZB J1001+2911,bll,LSP,bzb,bzq,Pe_a-Herazo et al. (2021) ,
123,11,4FGL J1043.2+2408,5BZQ J1043+2408,fsrq,LSP,bzq,bzb,Pe_a-Herazo et al. (2021) ,
124,13,4FGL J1056.0+0253,5BZG J1056+0252,bll,NA,bzg,bzb,Pe_a-Herazo et al. (2021) ,
125,15,4FGL J1106.0+2813,5BZQ J1106+2812,fsrq,LSP,bzq,bzb,Pe_a-Herazo et al. (2021) ,
126,17,4FGL J1321.1+2216,5BZQ J1321+2216,fsrq,LSP,bzq,bzb,Pe_a-Herazo et al. (2021) ,
127,18,4FGL J1326.1+1232,5BZG J1326+1229,bll,HSP,bzg,bzb,Pe_a-Herazo et al. (2021) ,
128,20,4FGL J1402.6+1600,5BZB J1402+1559,bll,ISP,bzb,bzq,Pe_a-Herazo et al. (2021) ,
129,21,4FGL J1449.5+2746,5BZG J1449+2746,rdg,ISP,bzg,bzb,Pe_a-Herazo et al. (2021) ,
130,23,4FGL J1512.2+0202,5BZG J1512+0203,fsrq,LSP,bzg,bzq,Pe_a-Herazo et al. (2021) ,
131,24,4FGL J1730.8+3715,5BZG J1730+3714,bll,ISP,bzg,bzb,Pe_a-Herazo et al. (2021) ,
132,,,,,,,,,
133,3,,SDSS J134240.02+094752.4,,,bzq,bzb,Pe_a-Herazo et al. (2021) ,
134,4,,5BZG J0006+1051,,,bzg,bzb,Pe_a-Herazo et al. (2021) ,
135,7,,5BZG J0751+1730,,,bzg,bzq,Pe_a-Herazo et al. (2021) ,
136,8,,5BZG J0756+3834,,,bzg,bzq,Pe_a-Herazo et al. (2021) ,
137,12,,5BZQ J1054+3855,,,bzq,bzb,Pe_a-Herazo et al. (2021) ,
138,14,,5BZG J1103+0022,,,bzg,bzb,Pe_a-Herazo et al. (2021) ,
139,16,,5BZQ J1243+4043,,,bzq,bzb,Pe_a-Herazo et al. (2021) ,
140,19,,5BZQ J1343+2844,,,bzq,bzb,Pe_a-Herazo et al. (2021) ,
141,22,,5BZG J1504-0248,,,bzg,bzq,Pe_a-Herazo et al. (2021) ,
142,25,,5BZG J1733+4519,,,bzg,bzb,Pe_a-Herazo et al. (2021) ,
143,26,,5BZG J2346+4024,,,bzg,bzq,Pe_a-Herazo et al. (2021) ,
144,,,,,,,,,
145,,,,,,,,,
146,,,,,,,,,
147,,,,,,,,,
148,1,4FGL J0134.5+2637,,fsrq,HSP,featureless,fsrq,"Foschini, Luigi 2021",2021Univ....7..372F
149,2,4FGL J0910.0+4257,,css,NA,featureless,css,"Foschini, Luigi 2021",2021Univ....7..372F
150,3,4FGL J0510.0+1800,,fsrq,LSP,featureless,fsrq,"Foschini, Luigi 2021",2021Univ....7..372F
151,4,4FGL J0449.1+1121,,fsrq,LSP,featureless,fsrq,"Foschini, Luigi 2021",2021Univ....7..372F
152,5,4FGL J0719.3+3307,,fsrq,LSP,featureless,fsrq,"Foschini, Luigi 2021",2021Univ....7..372F
153,6,4FGL J1124.0+2336,,fsrq,LSP,featureless,fsrq,"Foschini, Luigi 2021",2021Univ....7..372F
154,7,4FGL J0833.9+4223,,fsrq,LSP,featureless,fsrq,"Foschini, Luigi 2021",2021Univ....7..372F
155,8,4FGL J0509.4+1012,,fsrq,LSP,featureless,fsrq,"Foschini, Luigi 2021",2021Univ....7..372F
156,9,4FGL J0217.8+0144,,fsrq,LSP,featureless,fsrq,"Foschini, Luigi 2021",2021Univ....7..372F
157,10,4FGL J0522.9-3628,,AGN,LSP,featureless,AGN,"Foschini, Luigi 2021",2021Univ....7..372F
158,11,4FGL J1037.4-2933,,fsrq,LSP,featureless,fsrq,"Foschini, Luigi 2021",2021Univ....7..372F
159,,,,,,,,,
160,,,,,,,,,
161,,,,,,,,,
162,,,,,,,,,
163,1,,5BZB J0724+2621,,,BL Lac,FSRQ,"_lvarez Crespo, N 2016",2016AJ....151...32A
164,,,,,,,,,
165,1,,SDSS J211354.71+112125.3 ,,,FSRQ,without BELs,Pasham2019,2019RNAAS...3...92P
166,1+,,AT2019evq,,,FSRQ,without BELs,Pasham2019,2019RNAAS...3...92P
167,1,4FGL J2202.7+4216,BL Lac,bll,LSP,LSP BL Lac,FSRQ,Vermeulen et al. 1995,Ruan et al. (2014)
168,1,4FGL J1422.3+3223 ,B2 1420+32,fsrq,LSP,FSRQ,BL Lac,Mishra et al. (2021),2021ApJ...913..146M
169,1,4FGL J1153.4+4931 ,4C+29.22 (S4 1150+49),fsrq,LSP,FSRQ,BL Lacs,Cutini et al. (2014),2014MNRAS.445.4316C
,,4FGL J2151.8-3027,PKS 2149-306,fsrq,LSP,,,,2009A&A...496..423B
170,1,4FGL J0509.4+0542,TXS 0506+056,bll,ISP,bll,FSRQ,Padovani et al. (2019),2019MNRAS.484L.104P
171,,,,,,,,,
172,,,,,,,,,
173,,,,,,,,,
174,,,,,,,,,
175,,4FGL J0058.4+3315,1FGL J0058.0+3314,fsrq,LSP,BL Lac, nominal_FSRQ,Shaw et al. 2012,doi:10.1088/0004-637X/748/1/49 
176,,4FGL J0923.5+4125,1FGL J0923.2+4121,fsrq,LSP,BL Lac, nominal_FSRQ,Shaw et al. 2012,doi:10.1088/0004-637X/748/1/49 
177,,4FGL J1001.1+2911,1FGL J1000.9+2915 ,bll,LSP,BL Lac, nominal_FSRQ,Shaw et al. 2012,doi:10.1088/0004-637X/748/1/49 
178,,4FGL J1607.0+1550,1FGL J1607.1+1552 ,bll,LSP,BL Lac, nominal_FSRQ,Shaw et al. 2012,doi:10.1088/0004-637X/748/1/49 
179,,4FGL J2032.0+1219,1FGL J2031.5+1219 ,bll,LSP,BL Lac, nominal_FSRQ,Shaw et al. 2012,doi:10.1088/0004-637X/748/1/49 
180,,4FGL J2244.2+4057,1FGL J2243.4+4104 ,fsrq,LSP,BL Lac, nominal_FSRQ,Shaw et al. 2012,doi:10.1088/0004-637X/748/1/49 
181,,,,,,,,,
182,,4FGL J0430.3-2507,1FGL J0430.4-2509 ,bll,ISP,BL Lac, broad_lines_BLL,Shaw et al. 2012,doi:10.1088/0004-637X/748/1/49 
183,,4FGL J0516.7-6207,1FGL J0516.7-6207,bll,LSP,BL Lac, broad_lines_BLL,Shaw et al. 2012,doi:10.1088/0004-637X/748/1/49 
184,,4FGL J1058.4+0133,1FGL J1058.4+0134 ,bll,LSP,BL Lac, broad_lines_BLL,Shaw et al. 2012,doi:10.1088/0004-637X/748/1/49 
185,,4FGL J2236.3+2828,1FGL J2236.2+2828 ,fsrq,LSP,BL Lac, broad_lines_BLL,Shaw et al. 2012,doi:10.1088/0004-637X/748/1/49 
186,, 4FGL J2315.6-5018,1FGL J2315.9-5014 ,bll,LSP,BL Lac, broad_lines_BLL,Shaw et al. 2012,doi:10.1088/0004-637X/748/1/49 
187,,,,,,,,,
188,,,,,,,,,
189,,,,,,,,,
190,,,,,,,,,
191,1,4FGL J2345.2-1555,PMN J2345-1555,fsrq,LSP,FSRQ(red),BL Lac(blue),Ghisellini et al. 2013,2013MNRAS.432L..66G
192,,,,,,,,,
193,1,4FGL J0035.2+1514,RX J0035.2+1515 ,bll,ISP,bll,FSRQ(blue),Ghisellini et al. 2012,2012MNRAS.425.1371G
194,2,4FGL J0537.7-5717,SUMMS J053748_571828 ,bll,HSP,bll,FSRQ(blue),Ghisellini et al. 2012,2012MNRAS.425.1371G
195,3,4FGL J0630.9-2406,CRATES J0630_2406 ,bll,HSP,bll,FSRQ(blue),Ghisellini et al. 2012,2012MNRAS.425.1371G
196,4,4FGL J1312.4-2156,CRATES 1312_2156 ,bll,HSP,bll,FSRQ(blue),Ghisellini et al. 2012,2012MNRAS.425.1371G
